loss : 2.656347, modify_loss : 0.064378
loss : 3.238056, modify_loss : 0.159667
loss : 2.416683, modify_loss : 0.168599
loss : 2.460553, modify_loss : 0.172323
loss : 2.350358, modify_loss : 0.168937
loss : 2.363802, modify_loss : 0.165341
loss : 2.309476, modify_loss : 0.164121
loss : 2.305550, modify_loss : 0.157282
loss : 2.273530, modify_loss : 0.154198
loss : 2.286026, modify_loss : 0.147799
loss : 2.192910, modify_loss : 0.132973
loss : 2.185471, modify_loss : 0.128498
loss : 2.215257, modify_loss : 0.122279
loss : 2.137826, modify_loss : 0.137007
loss : 2.117604, modify_loss : 0.123712
loss : 2.060668, modify_loss : 0.113280
loss : 2.050207, modify_loss : 0.104390
loss : 1.933434, modify_loss : 0.107969
loss : 2.064415, modify_loss : 0.098234
loss : 1.939416, modify_loss : 0.115349
loss : 1.956865, modify_loss : 0.121649
loss : 1.857283, modify_loss : 0.122713
loss : 1.937916, modify_loss : 0.112784
loss : 1.980413, modify_loss : 0.091888
loss : 1.880489, modify_loss : 0.093829
loss : 1.918029, modify_loss : 0.091599
loss : 1.853878, modify_loss : 0.107055
loss : 2.004216, modify_loss : 0.101455
loss : 1.961090, modify_loss : 0.103977
loss : 1.920859, modify_loss : 0.109212
loss : 1.925116, modify_loss : 0.103600
loss : 2.072235, modify_loss : 0.091818
loss : 1.923909, modify_loss : 0.092462
loss : 1.845056, modify_loss : 0.102970
loss : 1.810982, modify_loss : 0.109016
loss : 1.808713, modify_loss : 0.106955
loss : 1.869317, modify_loss : 0.112543
loss : 1.787589, modify_loss : 0.105173
loss : 1.844079, modify_loss : 0.120117
loss : 1.762091, modify_loss : 0.112886
loss : 1.805667, modify_loss : 0.099939
loss : 1.866324, modify_loss : 0.101510
loss : 1.768093, modify_loss : 0.105564
loss : 1.788106, modify_loss : 0.100706
loss : 1.772101, modify_loss : 0.104059
loss : 1.814947, modify_loss : 0.105228
loss : 1.683030, modify_loss : 0.111008
loss : 1.892651, modify_loss : 0.096286
loss : 1.732869, modify_loss : 0.094430
loss : 1.877357, modify_loss : 0.095430
loss : 1.724777, modify_loss : 0.104971
loss : 1.854336, modify_loss : 0.098417
loss : 1.741544, modify_loss : 0.104662
loss : 1.720363, modify_loss : 0.101521
loss : 1.884866, modify_loss : 0.103608
loss : 1.819818, modify_loss : 0.102462
loss : 1.759573, modify_loss : 0.100958
loss : 1.737253, modify_loss : 0.097347
loss : 1.720654, modify_loss : 0.091048
loss : 1.748309, modify_loss : 0.101620
loss : 1.787503, modify_loss : 0.092689
loss : 1.691741, modify_loss : 0.105863
loss : 1.700718, modify_loss : 0.106631
loss : 1.703084, modify_loss : 0.104939
loss : 1.716209, modify_loss : 0.118547
loss : 1.634320, modify_loss : 0.112602
loss : 1.611683, modify_loss : 0.112164
loss : 1.761060, modify_loss : 0.093378
loss : 1.709677, modify_loss : 0.094147
loss : 1.749401, modify_loss : 0.093849
loss : 1.567007, modify_loss : 0.101711
loss : 1.630071, modify_loss : 0.111585
loss : 1.730458, modify_loss : 0.107129
loss : 1.677036, modify_loss : 0.102238
loss : 1.687317, modify_loss : 0.103562
loss : 1.567681, modify_loss : 0.115014
loss : 1.651316, modify_loss : 0.109411
loss : 1.683532, modify_loss : 0.108024
loss : 1.695860, modify_loss : 0.102199
loss : 1.625704, modify_loss : 0.108373
loss : 1.709052, modify_loss : 0.105309
loss : 1.573051, modify_loss : 0.112747
loss : 1.647804, modify_loss : 0.101077
loss : 1.673417, modify_loss : 0.106006
loss : 1.587119, modify_loss : 0.111977
loss : 1.597801, modify_loss : 0.108327
loss : 1.604929, modify_loss : 0.109406
loss : 1.620938, modify_loss : 0.101680
loss : 1.601334, modify_loss : 0.109837
loss : 1.646577, modify_loss : 0.111385
loss : 1.618548, modify_loss : 0.108188
loss : 1.573658, modify_loss : 0.117939
loss : 1.622344, modify_loss : 0.110463
loss : 1.562846, modify_loss : 0.123892
loss : 1.550430, modify_loss : 0.113534
